# K, H-K
1.466399999999999970e+01,1.508000000000000895e+00
1.651500000000000057e+01,1.384000000000000341e+00
1.070400000000000063e+01,1.464999999999999858e+00
1.625499999999999901e+01,1.233000000000000540e+00
1.389799999999999969e+01,2.260999999999999233e+00
1.784299999999999997e+01,1.373999999999998778e+00
1.787699999999999889e+01,1.256000000000000227e+00
1.780399999999999849e+01,7.560000000000002274e-01
1.345100000000000051e+01,1.868999999999999773e+00
1.457499999999999929e+01,1.229000000000000981e+00
1.545899999999999963e+01,1.628000000000000114e+00
1.775199999999999889e+01,1.306000000000000938e+00
1.631099999999999994e+01,1.919000000000000483e+00
1.448300000000000054e+01,1.458999999999999631e+00
1.295700000000000074e+01,1.535999999999999588e+00
1.459900000000000020e+01,1.551999999999999602e+00
1.489000000000000057e+01,1.615999999999999659e+00
1.248799999999999955e+01,1.566000000000000725e+00
1.759799999999999898e+01,1.261000000000002785e+00
1.768599999999999994e+01,1.088000000000000966e+00
1.474399999999999977e+01,1.378000000000000114e+00
1.757300000000000040e+01,8.499999999999978684e-01
1.757300000000000040e+01,7.369999999999983231e-01
1.275000000000000000e+01,1.554999999999999716e+00
1.586200000000000010e+01,1.115000000000000213e+00
1.639099999999999824e+01,1.932000000000002160e+00
1.471899999999999942e+01,1.640000000000002345e+00
1.496299999999999919e+01,1.549000000000001265e+00
1.693400000000000105e+01,-1.270000000000024443e-01
1.290700000000000003e+01,1.473000000000000753e+00
1.349099999999999966e+01,1.652000000000001023e+00
1.554400000000000048e+01,1.509999999999998010e+00
1.548700000000000010e+01,1.319000000000000838e+00
1.077399999999999913e+01,1.662000000000000810e+00
1.461200000000000010e+01,1.320999999999999730e+00
1.699500000000000099e+01,3.759999999999976694e-01
1.399399999999999977e+01,1.311999999999999389e+00
1.681299999999999883e+01,1.554999999999999716e+00
1.661400000000000077e+01,1.474000000000000199e+00
1.439100000000000001e+01,1.451999999999999957e+00
1.435800000000000054e+01,8.559999999999998721e-01
1.484999999999999964e+01,1.465000000000001634e+00
1.539000000000000057e+01,1.496999999999999886e+00
1.306600000000000072e+01,3.769999999999988916e-01
1.604899999999999949e+01,1.618999999999999773e+00
1.490399999999999991e+01,1.559999999999998721e+00
1.334399999999999942e+01,1.346000000000000085e+00
1.483099999999999952e+01,1.324999999999999289e+00
1.743100000000000094e+01,1.276999999999997470e+00
1.524900000000000055e+01,5.329999999999994742e-01
1.639499999999999957e+01,1.614000000000000767e+00
1.163499999999999979e+01,1.615000000000000213e+00
1.601800000000000068e+01,1.678999999999998494e+00
1.331499999999999950e+01,1.544999999999999929e+00
1.617200000000000060e+01,1.718999999999997641e+00
1.377299999999999969e+01,1.772000000000000242e+00
1.666799999999999926e+01,2.789999999999999147e+00
1.706200000000000117e+01,1.989999999999998437e+00
1.490300000000000047e+01,1.206999999999998963e+00
1.298000000000000043e+01,1.562999999999998835e+00
1.453700000000000081e+01,1.516000000000000014e+00
1.577800000000000047e+01,2.445999999999999730e+00
1.442300000000000004e+01,1.384999999999999787e+00
1.721600000000000108e+01,1.370999999999998664e+00
1.431099999999999994e+01,1.557000000000000384e+00
